month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
6,30.7,15,126.6,80.7,6.8,28.7,26.001527777777778,1987-06-01,1987
7,21.6,11,80.9,81.3,6.7,28.1,25.54018817204301,1987-07-01,1987
8,48.2,16,191.9,83.6,5.1,27.4,25.20483870967742,1987-08-01,1987
9,44.5,11,129.9,82.5,5.4,27.6,25.210277777777776,1987-09-01,1987
10,5.9,9,22.6,82.1,5.8,27.9,25.403897849462368,1987-10-01,1987
11,77.7,17,347.6,84.0,4.5,27.3,25.09986111111111,1987-11-01,1987
12,24.3,11,72.8,84.6,4.8,26.4,24.40981182795699,1987-12-01,1987
1,69.0,15,237.5,84.3,5.9,26.8,24.706989247311828,1988-01-01,1988
2,46.7,9,158.1,83.2,6.7,27.1,24.875287356321838,1988-02-01,1988
3,70.1,15,186.8,85.3,5.2,27.3,25.286827956989246,1988-03-01,1988
4,22.8,13,109.6,84.5,5.4,27.8,25.7025,1988-04-01,1988
5,76.7,14,229.6,82.7,5.6,28.4,26.008467741935487,1988-05-01,1988
6,69.4,13,252.2,81.6,6.5,28.0,25.459305555555556,1988-06-01,1988
7,75.6,15,305.4,84.0,6.0,27.3,25.204435483870967,1988-07-01,1988
8,19.0,14,80.1,84.9,4.9,27.0,25.00215053763441,1988-08-01,1988
9,187.3,14,440.4,84.5,4.8,27.1,25.00472222222222,1988-09-01,1988
10,39.8,17,134.6,83.2,4.1,27.5,25.170295698924733,1988-10-01,1988
11,111.9,23,401.4,86.8,3.7,26.3,24.58527777777778,1988-11-01,1988
12,22.0,11,62.9,81.1,5.7,26.2,23.718413978494624,1988-12-01,1988
1,53.0,10,189.7,84.1,5.8,26.5,24.39704301075269,1989-01-01,1989
2,48.4,3,52.4,78.3,6.7,26.6,23.703869047619047,1989-02-01,1989
3,63.5,21,305.9,87.6,4.5,26.3,24.72204301075269,1989-03-01,1989
4,39.0,17,198.6,86.4,5.7,27.0,25.190555555555555,1989-04-01,1989
5,38.2,12,194.0,86.6,5.2,27.3,25.475537634408603,1989-05-01,1989
6,45.9,12,117.6,83.3,6.0,27.5,25.19611111111111,1989-06-01,1989
7,33.3,12,157.6,82.6,6.0,27.7,25.386559139784946,1989-07-01,1989
8,81.4,18,201.0,83.7,5.3,27.1,24.966397849462368,1989-08-01,1989
9,102.2,14,247.3,84.4,5.5,26.9,24.84625,1989-09-01,1989
10,24.9,16,111.0,83.7,5.5,27.1,24.87983870967742,1989-10-01,1989
11,148.6,20,508.4,86.0,5.4,26.7,24.7975,1989-11-01,1989
12,44.2,18,179.7,85.5,4.8,26.3,24.378897849462366,1989-12-01,1989
