month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
1,73.9,13,147.4,83.8,5.3,26.2,24.04731182795699,1990-01-01,1990
2,6.6,8,24.1,80.9,8.9,27.6,24.96175595238095,1990-02-01,1990
3,48.6,4,94.2,77.6,8.3,28.2,25.07956989247312,1990-03-01,1990
4,12.0,10,52.4,81.2,6.3,28.5,25.88597222222222,1990-04-01,1990
5,153.7,11,180.1,81.1,6.5,28.6,25.93306451612903,1990-05-01,1990
6,76.1,9,112.6,80.7,6.3,28.3,25.69388888888889,1990-06-01,1990
7,44.5,12,124.0,82.7,5.9,27.5,25.131048387096776,1990-07-01,1990
8,38.3,13,146.6,82.3,5.8,28.0,25.574731182795702,1990-08-01,1990
9,44.5,17,204.5,83.2,5.1,27.2,24.977500000000003,1990-09-01,1990
10,20.2,12,56.4,83.5,5.9,27.5,25.24516129032258,1990-10-01,1990
11,46.9,17,180.4,83.5,4.6,27.2,24.98361111111111,1990-11-01,1990
12,33.5,16,201.1,86.0,5.5,26.3,24.47231182795699,1990-12-01,1990
1,36.2,13,123.9,84.1,5.6,26.7,24.58454301075269,1991-01-01,1991
2,17.9,7,45.5,81.6,7.0,27.1,24.620386904761904,1991-02-01,1991
3,48.6,10,92.4,79.9,7.1,27.8,25.046370967741936,1991-03-01,1991
4,32.2,13,134.2,84.3,5.8,27.7,25.61513888888889,1991-04-01,1991
5,44.0,23,256.4,86.6,5.1,27.7,25.91021505376344,1991-05-01,1991
6,55.6,9,88.7,81.0,7.1,28.6,25.970416666666665,1991-06-01,1991
7,10.7,8,37.3,78.7,6.7,28.5,25.533736559139786,1991-07-01,1991
8,129.9,8,226.2,79.8,5.3,28.2,25.4,1991-08-01,1991
9,53.6,12,123.1,83.0,4.1,27.5,25.269305555555555,1991-09-01,1991
10,20.4,5,52.0,81.4,4.2,27.5,24.98548387096774,1991-10-01,1991
11,75.2,19,205.0,86.5,3.5,26.3,24.492916666666666,1991-11-01,1991
12,79.4,19,492.3,90.7,3.0,25.6,24.43938172043011,1991-12-01,1991
1,56.2,9,83.9,82.4,6.6,26.6,24.29274193548387,1992-01-01,1992
2,43.2,4,62.4,80.5,7.7,27.5,24.78491379310345,1992-02-01,1992
3,35.1,6,67.6,80.6,7.4,28.2,25.505779569892475,1992-03-01,1992
4,94.7,13,160.3,82.4,6.4,28.4,25.964999999999996,1992-04-01,1992
5,13.7,13,63.1,83.3,5.7,28.1,25.850537634408603,1992-05-01,1992
6,38.4,14,162.8,82.7,5.5,28.0,25.671666666666667,1992-06-01,1992
7,97.3,19,290.8,83.8,4.7,27.3,25.163037634408603,1992-07-01,1992
8,31.0,11,76.1,81.1,5.7,27.8,25.18978494623656,1992-08-01,1992
9,17.5,13,83.6,82.9,5.0,27.3,25.035694444444445,1992-09-01,1992
10,45.5,20,233.2,82.0,4.5,27.4,24.988306451612903,1992-10-01,1992
11,120.6,18,474.3,87.7,3.7,26.1,24.48,1992-11-01,1992
12,105.7,23,502.7,90.3,3.4,25.5,24.283467741935485,1992-12-01,1992
1,37.2,11,176.4,85.7,5.5,26.2,24.335752688172043,1993-01-01,1993
2,27.0,8,69.2,80.5,8.5,26.7,24.083035714285717,1993-02-01,1993
3,56.9,14,250.5,86.3,5.4,26.7,24.861021505376346,1993-03-01,1993
4,56.7,20,283.9,84.5,6.4,27.6,25.485416666666666,1993-04-01,1993
5,37.2,10,129.9,82.9,6.0,28.2,25.85040322580645,1993-05-01,1993
6,29.4,17,115.5,80.9,6.2,28.5,25.831666666666667,1993-06-01,1993
7,46.4,15,240.0,83.2,5.2,27.9,25.60470430107527,1993-07-01,1993
8,53.5,11,106.8,79.4,7.4,28.6,25.729032258064517,1993-08-01,1993
9,42.0,7,61.7,81.4,5.9,27.9,25.334999999999997,1993-09-01,1993
10,62.7,13,175.5,84.3,5.2,27.5,25.36599462365591,1993-10-01,1993
11,61.3,18,250.8,87.4,4.7,26.9,25.185555555555556,1993-11-01,1993
12,67.6,19,308.5,87.4,4.2,26.5,24.865322580645163,1993-12-01,1993
1,17.5,7,56.9,82.1,6.1,26.9,24.526344086021506,1994-01-01,1994
2,26.3,15,133.5,84.5,6.4,27.0,24.95297619047619,1994-02-01,1994
3,64.2,19,288.2,87.1,3.5,26.8,25.10040322580645,1994-03-01,1994
4,46.3,15,154.0,84.8,5.8,27.9,25.803333333333335,1994-04-01,1994
5,45.1,16,169.6,84.8,5.0,28.1,26.023655913978494,1994-05-01,1994
6,61.1,14,184.7,83.5,6.0,28.1,25.83319444444444,1994-06-01,1994
7,17.0,6,53.8,78.9,7.6,28.4,25.54758064516129,1994-07-01,1994
8,15.5,12,45.1,80.0,6.5,28.1,25.40241935483871,1994-08-01,1994
9,11.3,6,23.7,78.7,3.8,28.3,25.410833333333336,1994-09-01,1994
10,35.4,11,84.7,81.5,4.5,27.9,25.29475806451613,1994-10-01,1994
11,178.3,21,322.2,88.4,4.5,26.7,25.152638888888887,1994-11-01,1994
12,133.8,18,425.4,85.5,5.3,26.9,24.943279569892475,1994-12-01,1994
1,108.3,21,349.4,86.2,5.0,26.8,24.957795698924734,1995-01-01,1995
2,159.3,16,334.0,87.5,4.9,26.5,24.799255952380953,1995-02-01,1995
3,31.1,10,67.7,83.9,5.9,27.6,25.396102150537637,1995-03-01,1995
4,73.6,16,242.3,85.3,5.6,27.9,25.946805555555557,1995-04-01,1995
5,32.8,11,84.4,83.7,6.0,28.5,26.279301075268815,1995-05-01,1995
6,45.0,12,63.7,81.9,6.6,28.9,26.335694444444446,1995-06-01,1995
7,52.3,13,173.6,82.6,5.2,28.0,25.65215053763441,1995-07-01,1995
8,37.9,21,211.6,85.6,4.1,27.4,25.47271505376344,1995-08-01,1995
9,5.7,7,29.5,81.6,5.8,28.3,25.764305555555556,1995-09-01,1995
10,37.1,12,101.1,82.8,4.7,27.8,25.463575268817202,1995-10-01,1995
11,198.6,20,372.8,86.8,3.7,27.0,25.218611111111112,1995-11-01,1995
12,55.6,20,302.5,86.6,3.1,26.3,24.549059139784948,1995-12-01,1995
1,39.0,10,173.2,84.2,5.2,26.2,24.08521505376344,1996-01-01,1996
2,53.0,11,180.2,84.6,5.8,26.5,24.44942528735632,1996-02-01,1996
3,61.8,8,129.7,81.0,7.7,27.8,25.128897849462366,1996-03-01,1996
4,55.7,15,178.2,85.5,5.4,27.8,25.83888888888889,1996-04-01,1996
