,date,specialist outpatient clinics,accident & emergency departments,polyclinics
140,2012-04-01,353345,82972,377229
141,2012-03-01,383300,83149,411277
142,2012-02-01,368675,80008,390167
143,2012-01-01,339387,85885,351582
144,2011-12-01,338024,79444,387907
145,2011-11-01,361178,79388,380195
146,2011-10-01,342482,82236,380688
147,2011-09-01,371623,76610,391813
148,2011-08-01,361968,76087,364597
149,2011-07-01,369860,79868,385809
150,2011-06-01,365917,75704,375767
151,2011-05-01,341827,80567,356183
152,2011-04-01,349725,75870,372272
153,2011-03-01,383027,78038,405632
154,2011-02-01,291968,72386,323320
155,2011-01-01,356540,78287,377860
156,2010-12-01,335137,71104,365456
157,2010-11-01,330730,68758,346277
158,2010-10-01,336728,74968,368734
159,2010-09-01,331303,71140,349059
160,2010-08-01,343294,77643,355611
161,2010-07-01,360736,75461,388814
162,2010-06-01,338910,69603,355719
163,2010-05-01,321210,76782,360350
164,2010-04-01,338582,70991,378763
165,2010-03-01,365621,69716,391103
166,2010-02-01,287108,62869,299578
167,2010-01-01,334327,69746,355032
168,2009-12-01,316282,66094,358233
169,2009-11-01,310891,64651,341973
170,2009-10-01,333860,66656,361582
171,2009-09-01,323286,65171,340660
172,2009-08-01,317909,75923,349172
173,2009-07-01,356774,78644,381094
174,2009-06-01,334463,68553,325133
175,2009-05-01,286736,70173,319202
176,2009-04-01,338884,70535,360636
177,2009-03-01,347042,68341,365731
178,2009-02-01,317083,60320,334882
179,2009-01-01,303100,66243,319605
180,2008-12-01,305181,66245,318855
181,2008-11-01,307774,65264,319644
182,2008-10-01,316541,67233,327070
183,2008-09-01,326037,61682,342639
184,2008-08-01,319270,64073,330454
185,2008-07-01,355209,65874,364699
186,2008-06-01,312529,62821,318685
187,2008-05-01,309611,68712,333003
188,2008-04-01,336843,68584,358290
189,2008-03-01,306731,67203,332452
190,2008-02-01,281139,63527,289240
191,2008-01-01,350410,67321,336558
192,2007-12-01,262198,62155,289235
193,2007-11-01,309033,60076,310367
194,2007-10-01,337069,60965,330063
195,2007-09-01,291405,61778,310373
196,2007-08-01,329272,62672,330574
197,2007-07-01,332671,65641,337752
198,2007-06-01,308889,62605,319352
199,2007-05-01,317247,71180,333385
200,2007-04-01,300481,62644,316714
201,2007-03-01,320970,62343,342768
202,2007-02-01,260298,56766,264139
203,2007-01-01,318377,63297,313231
204,2006-12-01,281341,57943,288744
205,2006-11-01,306934,55428,317780
206,2006-10-01,299003,56834,298582
207,2006-09-01,305507,54438,311646
208,2006-08-01,331495,56559,324682
209,2006-07-01,312956,58833,320271
210,2006-06-01,309383,59708,332826
211,2006-05-01,313965,59631,327812
212,2006-04-01,279846,53997,305709
213,2006-03-01,328468,55432,343239
214,2006-02-01,284331,51647,315017
